id,short_name,title,authors,year,date,venue,url,code_url,topics,tier,note_zh
2209.07753,Code as Policies,Code as Policies: Language Model Programs for Embodied Control,"Jacky Liang, Wenlong Huang, Fei Xia, Peng Xu, Karol Hausman, Brian Ichter, Pete Florence, Andy Zeng",2022,2022-09-16,arXiv,https://arxiv.org/abs/2209.07753,https://code-as-policies.github.io,T2,core,首次系统提出 Code-as-Policy：LLM 生成处理感知、调用控制原语、可表达反应式与航点式策略的程序。
2307.04738,RoCo,RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,"Zhao Mandi, Shreeya Jain, Shuran Song",2023,2023-07-10,arXiv,https://arxiv.org/abs/2307.04738,https://project-roco.github.io,T19,core,多机器人用 LLM 对话协商分工与航点，交给多臂运动规划器；RoCoBench。
2310.12931,Eureka,Eureka: Human-Level Reward Design via Coding Large Language Models,"Yecheng Jason Ma, William Liang, Guanzhi Wang, De-An Huang, Osbert Bastani, Dinesh Jayaraman, Yuke Zhu, Linxi Fan, Anima Anandkumar",2023,2023-10-19,ICLR 2024,https://arxiv.org/abs/2310.12931,https://eureka-research.github.io,T24;T9,core,LLM 编写奖励函数、RL 学策略、结果反馈回 LLM 改奖励；83% 任务超过人工奖励；训练方法的自动搜索。
2405.15019,Agentic Skill Discovery,Agentic Skill Discovery,"Xufeng Zhao, Cornelius Weber, Stefan Wermter",2024,2024-05-23,arXiv,https://arxiv.org/abs/2405.15019,https://agentic-skill-discovery.github.io/,T8,core,完全由 LLM 驱动的技能发现：LLM 提任务、采样奖励与成功判定函数、RL 学策略、VLM 独立验证，技能库从零生长。
2406.01967,DrEureka,DrEureka: Language Model Guided Sim-To-Real Transfer,"Yecheng Jason Ma, William Liang, Hung-Ju Wang, Sam Wang, Yuke Zhu, Linxi Fan, Osbert Bastani, Dinesh Jayaraman",2024,2024-06-04,RSS 2024,https://arxiv.org/abs/2406.01967,https://eureka-research.github.io/dr-eureka/,T24;T11,core,LLM 同时写奖励与域随机化参数范围（摩擦、质量、外力），四足机器人仿真学会站瑜伽球并迁移真机；自动研究推进到 sim-to-real。
2411.17636,MALMM,MALMM: Multi-Agent Large Language Models for Zero-Shot Robotics Manipulation,"Harsh Singh, Rocktim Jyoti Das, Mingfei Han, Preslav Nakov, Ivan Laptev",2024,2024-11-26,arXiv,https://arxiv.org/abs/2411.17636,,T19;T2,core,Planner / Coder / Supervisor 多 LLM agent 零样本操作，每步环境观测驱动重规划。
2501.15068,Atomic Skill Library,An Atomic Skill Library Construction Method for Data-Efficient Embodied Manipulation,"Dongjiang Li, Bo Peng, Chang Li, Ning Qiao, Qi Zheng, Lei Sun, Yusen Qin, Bangguo Li, Yifeng Luan, Bo Wu, Yibing Zhan, Mingang Sun, Tong Xu, Lusong Li, Hui Shen, Xiaodong He",2025,2025-01-25,arXiv,https://arxiv.org/abs/2501.15068,,T8,core,三轮数据驱动构建原子技能库：VLP 拆子任务 → 抽象技能定义 → VLA 微调。
2503.22122,REMAC,REMAC: Self-Reflective and Self-Evolving Multi-Agent Collaboration for Long-Horizon Robot Manipulation,"Puzhen Yuan, Angyuan Ma, Yunchao Yao, Huaxiu Yao, Masayoshi Tomizuka, Mingyu Ding",2025,2025-03-28,arXiv,https://arxiv.org/abs/2503.22122,,T4;T6;T19;T23,core,多机器人长程规划：前置/后置条件检查的自反思 + 场景推理的自进化，成功率 +40%，效率 +52.7%。
2505.03673,RoboOS,RoboOS: A Hierarchical Embodied Framework for Cross-Embodiment and Multi-Agent Collaboration,"Huajie Tan, Xiaoshuai Hao, Cheng Chi, Minglan Lin, Yaoxu Lyu, Mingyu Cao, Dong Liang, Zhuo Chen, Mengsi Lyu, Cheng Peng, Chenrui He, Yulong Ao, Yonghua Lin, Pengwei Wang, Zhongyuan Wang, Shanghang Zhang",2025,2025-05-06,arXiv,https://arxiv.org/abs/2505.03673,https://github.com/FlagOpen/RoboOS,T19;T20;T21,core,Brain-Cerebellum 架构：Embodied Brain + Cerebellum Skill Library + Real-Time Shared Memory，边云通信。
2505.11917,OneTwoVLA,OneTwoVLA: A Unified Vision-Language-Action Model with Adaptive Reasoning,"Fanqi Lin, Ruiqian Nai, Yingdong Hu, Jiacheng You, Junming Zhao, Yang Gao",2025,2025-05-17,arXiv,https://arxiv.org/abs/2505.11917,,T13,core,单一模型自适应切换推理与执行模式，关键时刻显式推理。
2505.23450,Agentic Robot,Agentic Robot: A Brain-Inspired Framework for Vision-Language-Action Models in Embodied Agents,"Zhejian Yang, Yongchao Chen, Xueyang Zhou, Jiangyue Yan, Dingjie Song, Yinuo Liu, Yuting Li, Yu Zhang, Pan Zhou, Hechang Chen, Lichao Sun",2025,2025-05-29,arXiv,https://arxiv.org/abs/2505.23450,https://agentic-robot.github.io,T1;T4;T23,core,脑启发框架：Standardized Action Procedure 协调推理模型 / VLA 执行器 / 时序验证器，LIBERO 79.6%。
